Galaxy,Filter,z,t_L (Gyr),λ rf (μm),μ (deg),Δμ (deg),l_ψ (deg),l_ψ err,Luminosity fraction,w (kpc),w err,r_end (kpc),r_end err,h_s (kpc),h_s err,W_i,S,S err
g147,F814W,0.118,1.52,0.721,8.0,2.9,358.9,0.2,0.058,2.985,0.0,6.541,0.025,6.403,0.086,0.79,0.5,0.0
g147,F814W,0.118,1.52,0.721,6.3,-4.3,346.1,0.7,0.027,1.569,0.012,6.212,0.042,11.127,0.472,1.54,-0.3,0.02
g56,F814W,0.14,1.78,0.707,39.8,5.1,118.8,2.7,0.046,0.624,0.061,3.978,0.0,0.926,0.032,3.02,0.02,0.08
g56,F814W,0.14,1.78,0.707,13.4,25.8,97.4,2.7,0.027,1.803,0.0,3.172,0.304,0.744,0.079,10.59,-0.06,0.1
g100,F814W,0.169,2.1,0.69,9.3,-7.6,377.0,18.8,0.164,1.456,0.073,2.985,0.0,12.707,4.764,5.17,-0.5,0.0
g100,F814W,0.169,2.1,0.69,10.8,-0.1,393.6,0.0,0.178,2.143,0.0,6.006,0.123,9.371,0.757,1.96,0.04,0.06
g53,F814W,0.172,2.13,0.688,21.9,4.4,193.1,1.6,0.055,2.497,0.045,9.233,0.0,3.551,0.077,5.87,-0.5,0.0
g53,F814W,0.172,2.13,0.688,11.2,1.5,447.1,2.8,0.179,3.46,0.0,6.937,0.08,3.1,0.05,2.76,-0.45,0.02
g53,F814W,0.172,2.13,0.688,14.1,1.5,142.4,0.5,0.034,3.42,0.0,11.544,0.155,1.908,0.042,1.75,0.29,0.03
g53,F814W,0.172,2.13,0.688,11.6,10.8,349.7,1.5,0.125,3.067,0.072,16.314,0.153,4.201,0.05,3.3,0.11,0.03
g53,F814W,0.172,2.13,0.688,22.8,-7.4,211.6,1.5,0.057,3.252,0.0,12.386,0.0,2.144,0.026,11.91,-0.49,0.01
g64,F814W,0.18,2.22,0.683,3.7,7.5,181.0,2.4,0.129,1.748,0.053,5.209,0.091,8.262,2.42,1.28,-0.03,0.03
g64,F814W,0.18,2.22,0.683,2.2,-5.2,228.1,1.6,0.186,2.36,0.05,4.288,0.0,0.937,0.005,1.97,-0.05,0.02
g156,F814W,0.186,2.28,0.68,14.2,-7.1,292.7,0.4,0.105,3.243,0.021,13.871,0.086,8.294,0.087,1.67,-0.15,0.01
g156,F814W,0.186,2.28,0.68,12.2,-11.4,189.9,0.6,0.111,6.293,0.052,12.162,0.109,67.309,0.0,0.87,-0.26,0.01
g26,F814W,0.2,2.43,0.672,11.9,-0.7,574.1,1.7,0.14,1.441,0.026,10.474,0.044,3.885,0.036,1.6,-0.34,0.02
g26,F814W,0.2,2.43,0.672,16.4,0.1,348.9,0.0,0.202,1.923,0.024,9.874,0.044,3.092,0.022,2.17,-0.25,0.02
g76,F814W,0.221,2.65,0.66,8.5,6.1,268.1,3.0,0.194,2.723,0.107,10.909,0.291,19.916,8.286,2.53,0.3,0.05
g76,F814W,0.221,2.65,0.66,37.2,-46.0,67.0,4.0,0.011,2.128,0.157,10.784,0.0,32.386,52.23,1.29,0.24,0.22
g76,F814W,0.221,2.65,0.66,17.3,-7.1,240.4,1.5,0.232,3.719,0.0,8.129,0.0,3.893,0.127,2.0,0.35,0.04
g76,F814W,0.221,2.65,0.66,6.9,14.7,138.0,1.9,0.063,3.781,0.203,13.642,0.0,7.248,1.031,0.37,0.24,0.11
g76,F814W,0.221,2.65,0.66,8.7,1.7,250.0,0.0,0.041,1.056,0.079,4.434,0.315,4.284,1.106,4.76,0.42,0.22
g39,F814W,0.223,2.67,0.659,16.1,-9.8,239.4,2.1,0.149,1.273,0.053,4.718,0.104,2.186,0.046,1.3,-0.11,0.04
g39,F814W,0.223,2.67,0.659,10.4,-3.6,320.2,3.5,0.183,1.805,0.0,4.854,0.0,18.354,0.0,6.86,-0.29,0.04
g107,F814W,0.227,2.71,0.657,13.5,12.8,133.3,3.0,0.039,0.683,0.035,2.778,0.119,1.241,0.184,0.37,-0.05,0.11
g107,F814W,0.227,2.71,0.657,13.0,-1.5,128.9,3.0,0.057,0.736,0.019,2.602,0.186,1.275,0.262,0.76,0.5,0.0
g107,F814W,0.227,2.71,0.657,29.0,-2.7,94.6,9.7,0.016,0.259,0.06,2.241,0.333,1.445,0.983,10.54,0.05,0.48
g107,F814W,0.227,2.71,0.657,37.9,-41.6,76.2,1.9,0.047,0.883,0.03,2.687,0.325,1.344,0.171,1.69,0.5,0.0
g98,F814W,0.227,2.71,0.657,32.4,91.0,53.0,4.3,0.015,1.6,0.166,9.375,0.571,4.575,0.975,2.19,0.5,0.0
g98,F814W,0.227,2.71,0.657,10.9,0.2,419.4,2.0,0.104,1.953,0.063,8.857,0.272,4.443,0.225,1.13,-0.45,0.04
g98,F814W,0.227,2.71,0.657,10.9,-4.9,376.0,5.8,0.085,2.192,0.1,6.195,0.183,9.043,1.096,0.82,0.02,0.16
g46,F814W,0.228,2.72,0.656,24.9,-4.1,350.8,14.0,0.031,2.518,0.869,6.996,0.0,1.394,0.092,0.9,-0.06,0.31
g46,F814W,0.228,2.72,0.656,23.5,-3.4,284.5,4.2,0.051,1.628,0.107,10.004,0.0,28.285,14.443,0.62,0.16,0.09
g46,F814W,0.228,2.72,0.656,9.6,6.9,290.4,2.0,0.046,1.516,0.099,10.729,0.0,19.766,8.114,2.28,-0.11,0.08
g104,F814W,0.23,2.74,0.655,22.9,-9.9,301.5,0.6,0.226,1.869,0.0,8.795,0.109,9.026,0.543,1.42,-0.09,0.03
g104,F814W,0.23,2.74,0.655,20.9,-3.9,324.6,0.0,0.204,1.273,0.037,7.815,0.0,1.629,0.023,6.18,-0.1,0.03
g104,F814W,0.23,2.74,0.655,19.7,-15.9,229.4,0.5,0.163,1.909,0.0,6.153,0.0,8.385,0.835,0.37,0.5,0.0
g118,F814W,0.23,2.74,0.655,15.0,23.8,105.6,2.4,0.01,0.38,0.052,6.322,0.165,4.545,1.482,6.75,-0.5,0.0
g118,F814W,0.23,2.74,0.655,11.3,-3.2,350.5,2.2,0.17,1.035,0.047,2.694,0.076,0.959,0.023,2.12,0.04,0.05
g118,F814W,0.23,2.74,0.655,16.6,-2.9,388.5,4.8,0.077,0.825,0.049,6.877,0.217,1.985,0.04,4.11,-0.28,0.05
g118,F814W,0.23,2.74,0.655,11.0,-4.1,228.1,2.7,0.081,1.793,0.052,8.188,0.0,5.017,0.533,2.22,0.32,0.04
g32,F814W,0.231,2.75,0.655,18.0,-19.2,212.1,1.6,0.134,1.46,0.048,3.787,0.103,1.392,0.016,0.95,0.07,0.03
g32,F814W,0.231,2.75,0.655,7.4,-22.0,114.0,1.6,0.029,2.071,0.047,6.984,0.127,3.652,0.733,0.38,-0.38,0.06
g32,F814W,0.231,2.75,0.655,17.8,-19.7,168.6,0.6,0.062,1.074,0.016,3.09,0.085,1.041,0.022,1.63,-0.43,0.02
g32,F814W,0.231,2.75,0.655,5.9,-3.7,186.1,0.9,0.022,1.08,0.069,5.886,0.108,2.262,0.301,1.6,-0.34,0.08
g31,F814W,0.232,2.76,0.654,9.9,-1.1,286.7,1.5,0.102,1.213,0.0,5.212,0.0,0.569,0.014,6.97,0.3,0.08
g31,F814W,0.232,2.76,0.654,15.7,-14.5,254.8,3.6,0.072,1.185,0.0,3.904,0.363,1.717,0.056,1.0,0.5,0.0
g22,F814W,0.233,2.77,0.654,11.3,12.1,163.9,1.0,0.019,1.477,0.057,10.848,0.0,4.871,0.39,3.96,0.41,0.08
g22,F814W,0.233,2.77,0.654,2.7,17.9,68.1,1.0,0.029,4.024,0.0,10.379,0.0,9.64,0.861,7.46,-0.35,0.02
g22,F814W,0.233,2.77,0.654,10.7,2.8,325.5,2.3,0.078,1.395,0.04,10.45,0.097,3.219,0.074,0.84,0.01,0.04
g22,F814W,0.233,2.77,0.654,20.8,-32.7,97.7,2.3,0.021,1.824,0.068,10.856,0.0,6.608,0.458,9.07,0.26,0.08
g22,F814W,0.233,2.77,0.654,16.4,-1.9,316.2,2.0,0.116,1.804,0.026,9.824,0.0,20.224,1.478,6.0,0.07,0.02
g22,F814W,0.233,2.77,0.654,36.7,-26.3,67.0,1.0,0.017,1.888,0.07,12.273,0.32,10.173,1.0,2.43,-0.09,0.04
g60,F814W,0.247,2.91,0.646,7.2,-4.0,392.4,5.6,0.158,2.183,0.028,10.63,0.069,18.329,2.018,1.92,-0.3,0.04
g60,F814W,0.247,2.91,0.646,22.9,-27.4,150.5,2.0,0.036,1.551,0.067,12.136,0.364,5.345,0.323,6.41,-0.2,0.1
g60,F814W,0.247,2.91,0.646,9.3,-1.3,122.4,1.8,0.037,3.195,0.0,7.463,0.317,2.107,0.321,6.13,-0.5,0.0
g96,F814W,0.247,2.91,0.646,18.0,-28.9,68.9,0.5,0.037,2.645,0.055,11.393,0.179,2.827,0.016,0.51,-0.09,0.04
g96,F814W,0.247,2.91,0.646,17.0,-0.2,174.9,0.8,0.078,2.391,0.026,14.563,0.102,54.146,0.0,9.07,-0.4,0.01
g96,F814W,0.247,2.91,0.646,7.9,-4.0,291.2,1.6,0.175,4.266,0.039,11.947,0.06,7.419,0.211,0.87,0.08,0.01
g12,F814W,0.249,2.93,0.645,10.8,8.7,187.2,0.6,0.101,2.133,0.047,8.278,0.157,3.52,0.076,1.13,-0.14,0.02
g12,F814W,0.249,2.93,0.645,18.8,-21.5,250.4,1.5,0.157,2.312,0.033,4.774,0.0,5.087,0.09,1.22,0.5,0.0
g103,F814W,0.266,3.1,0.637,18.1,-14.9,199.6,0.9,0.16,4.025,0.0,10.975,0.189,9.553,0.212,3.55,-0.19,0.03
g103,F814W,0.266,3.1,0.637,10.8,-6.3,285.8,0.9,0.127,2.317,0.056,10.351,0.103,2.241,0.043,1.69,-0.03,0.03
g103,F814W,0.266,3.1,0.637,17.5,-14.5,157.9,0.4,0.075,2.536,0.04,10.944,0.156,3.108,0.057,0.75,-0.12,0.05
g153,F814W,0.267,3.11,0.636,16.4,4.3,279.9,0.5,0.159,2.652,0.036,20.763,0.177,5.751,0.068,0.95,-0.5,0.0
g153,F814W,0.267,3.11,0.636,18.0,-4.1,288.8,1.3,0.191,3.461,0.056,15.191,0.1,7.344,0.081,0.66,-0.12,0.02
g8,F814W,0.268,3.12,0.636,13.7,3.0,238.5,1.6,0.134,1.563,0.079,8.766,0.358,1.553,0.071,0.9,0.26,0.07
g8,F814W,0.268,3.12,0.636,16.7,0.2,249.2,1.5,0.131,1.571,0.055,9.86,0.0,2.308,0.085,1.28,-0.12,0.04
g59,F814W,0.269,3.13,0.635,9.2,0.3,420.0,2.6,0.255,3.136,0.0,7.914,0.143,4.503,0.11,0.52,-0.41,0.01
g59,F814W,0.269,3.13,0.635,10.4,1.8,365.6,3.2,0.155,3.124,0.0,7.381,0.209,3.101,0.148,0.68,-0.5,0.0
g166,F814W,0.271,3.15,0.634,14.3,7.7,141.1,5.4,0.049,2.965,0.18,17.984,0.728,3.025,0.189,1.32,-0.31,0.1
g166,F814W,0.271,3.15,0.634,7.7,-15.3,73.5,1.6,0.039,4.054,0.0,6.815,0.0,2.19,0.212,1.14,0.22,0.11
g166,F814W,0.271,3.15,0.634,16.9,-1.1,329.0,2.9,0.154,2.517,0.085,9.838,0.336,4.714,0.188,5.94,-0.4,0.06
g166,F814W,0.271,3.15,0.634,12.5,0.2,430.7,2.4,0.203,2.682,0.066,11.833,0.169,3.291,0.055,1.05,-0.5,0.0
g13,F814W,0.274,3.17,0.633,10.4,-25.9,176.5,7.3,0.038,1.281,0.185,4.811,0.816,0.951,0.105,1.75,0.5,0.0
g13,F814W,0.274,3.17,0.633,19.7,6.2,249.2,5.6,0.026,1.202,0.08,16.087,2.367,1.816,0.134,3.63,-0.19,0.12
g13,F814W,0.274,3.17,0.633,17.1,-4.6,249.4,5.2,0.065,1.424,0.0,9.36,0.0,1.747,0.084,0.67,0.17,0.13
g160,F814W,0.276,3.19,0.632,15.0,1.8,398.9,4.7,0.147,1.834,0.076,10.724,0.311,5.553,0.216,6.77,0.22,0.11
g160,F814W,0.276,3.19,0.632,12.4,2.1,524.7,9.7,0.164,1.601,0.086,11.875,0.24,7.447,0.409,4.8,-0.11,0.06
g49,F814W,0.279,3.22,0.63,27.2,-3.3,186.8,5.6,0.108,0.695,0.045,6.338,0.162,6.929,0.661,15.05,-0.15,0.08
g49,F814W,0.279,3.22,0.63,15.6,1.4,329.7,0.0,0.189,1.86,0.0,6.677,0.081,2.755,0.054,0.37,0.5,0.0
g49,F814W,0.279,3.22,0.63,28.6,-15.5,60.5,2.7,0.01,1.111,0.097,7.96,0.0,1.32,0.182,4.66,-0.02,0.26
g16,F814W,0.28,3.23,0.63,7.8,-0.8,328.5,7.0,0.05,0.553,0.027,3.638,0.131,5.243,1.328,4.96,0.38,0.09
g16,F814W,0.28,3.23,0.63,17.9,0.1,408.9,0.0,0.075,1.134,0.076,10.531,0.169,5.255,0.199,7.37,0.0,0.0
g37,F814W,0.299,3.41,0.62,14.4,-12.0,170.0,3.2,0.113,2.46,0.106,6.881,0.769,3.094,0.419,1.92,-0.28,0.05
g37,F814W,0.299,3.41,0.62,7.2,5.5,268.8,4.5,0.152,2.85,0.135,6.644,0.384,29.922,0.0,0.44,0.5,0.0
g20,F814W,0.303,3.44,0.619,28.0,-97.8,53.4,3.0,0.012,1.789,0.175,10.263,0.943,3.659,0.469,0.48,0.5,0.0
g20,F814W,0.303,3.44,0.619,23.5,-42.2,75.8,1.4,0.019,0.937,0.099,11.926,0.252,5.937,1.281,2.17,0.15,0.12
g20,F814W,0.303,3.44,0.619,23.3,9.1,218.5,8.5,0.034,1.097,0.138,8.167,0.342,27.278,28.404,4.66,0.03,0.22
g20,F814W,0.303,3.44,0.619,25.1,-8.7,112.5,1.7,0.047,1.606,0.126,9.891,0.258,35.883,0.0,5.28,-0.15,0.06
g20,F814W,0.303,3.44,0.619,21.3,-4.9,188.5,6.7,0.035,1.493,0.104,6.979,0.441,3.089,0.468,7.92,0.5,0.0
g7,F814W,0.31,3.51,0.615,15.6,8.1,170.7,3.8,0.026,2.41,0.081,9.639,0.0,3.718,0.276,1.47,0.36,0.14
g7,F814W,0.31,3.51,0.615,9.3,-8.3,176.9,5.9,0.023,3.164,0.205,6.617,0.804,1.233,0.443,14.83,-0.36,0.27
g11,F814W,0.31,3.51,0.615,7.6,3.5,331.6,0.0,0.165,3.07,0.076,10.132,0.426,4.077,0.116,1.0,0.0,0.0
g11,F814W,0.31,3.51,0.615,13.6,-7.2,300.9,4.2,0.215,3.112,0.065,12.295,0.258,7.887,0.323,1.0,0.0,0.0
g44,F814W,0.312,3.53,0.614,11.8,-13.7,276.4,0.0,0.105,4.836,0.0,10.098,0.289,6.747,0.123,0.84,-0.14,0.01
g44,F814W,0.312,3.53,0.614,15.8,1.4,217.2,1.1,0.043,3.073,0.087,16.77,0.414,8.242,0.373,2.7,-0.38,0.03
g44,F814W,0.312,3.53,0.614,12.3,-7.2,291.5,0.9,0.134,3.586,0.136,8.54,0.0,8.653,0.221,3.07,0.08,0.04
g124,F814W,0.313,3.54,0.614,25.5,-3.3,190.1,1.3,0.119,1.615,0.054,8.72,0.16,3.407,0.137,0.89,0.39,0.06
g124,F814W,0.313,3.54,0.614,13.3,-14.4,253.9,5.3,0.17,2.259,0.0,7.767,0.26,4.895,0.863,0.99,-0.38,0.02
g164,F814W,0.313,3.54,0.614,16.2,-3.8,283.2,2.7,0.144,2.634,0.054,9.36,0.0,2.695,0.038,2.44,-0.5,0.0
g164,F814W,0.313,3.54,0.614,20.1,-1.6,105.7,2.7,0.02,1.205,0.071,11.985,0.496,19.728,6.49,0.37,-0.02,0.06
g164,F814W,0.313,3.54,0.614,11.5,-0.4,374.0,4.4,0.096,2.114,0.036,8.332,0.0,2.551,0.05,3.37,0.08,0.06
g164,F814W,0.313,3.54,0.614,13.3,-12.0,203.0,2.3,0.08,3.134,0.082,10.905,0.273,2.439,0.054,1.59,0.01,0.07
g47,F814W,0.314,3.55,0.613,3.0,6.0,321.3,1.3,0.052,1.352,0.036,5.512,0.222,3.183,0.362,2.54,-0.04,0.05
g47,F814W,0.314,3.55,0.613,3.3,-5.7,357.7,1.1,0.113,2.82,0.0,6.201,0.0,1.055,0.004,2.23,0.5,0.0
g130,F814W,0.316,3.56,0.612,13.7,-20.6,209.8,2.3,0.105,2.098,0.032,6.4,0.0,1.415,0.006,1.0,0.0,0.0
g130,F814W,0.316,3.56,0.612,10.9,-14.5,250.2,3.1,0.158,2.385,0.0,6.296,0.0,2.352,0.061,1.0,0.0,0.0
g17,F814W,0.316,3.56,0.612,14.1,-7.4,199.6,1.9,0.086,1.553,0.06,8.582,0.0,3.647,0.133,1.29,-0.06,0.08
g17,F814W,0.316,3.56,0.612,14.3,-15.6,207.7,1.9,0.1,2.946,0.0,7.719,0.208,3.081,0.063,6.54,-0.39,0.05
g108,F814W,0.317,3.57,0.612,4.1,-3.7,465.6,3.7,0.083,2.722,0.083,11.162,0.0,7.051,0.22,0.98,-0.34,0.03
g108,F814W,0.317,3.57,0.612,9.0,-31.2,153.9,3.4,0.027,3.966,0.273,5.79,0.0,3.717,0.246,0.37,-0.5,0.0
g36,F814W,0.318,3.58,0.612,12.5,-9.5,292.2,1.6,0.134,2.482,0.052,11.965,0.153,2.247,0.024,1.88,0.02,0.03
g36,F814W,0.318,3.58,0.612,14.9,0.1,311.3,0.9,0.177,3.449,0.037,11.228,0.0,3.146,0.038,11.83,-0.5,0.0
g95,F814W,0.322,3.62,0.61,12.7,-3.7,216.0,2.0,0.116,1.678,0.033,6.334,0.101,4.245,0.159,1.4,-0.07,0.03
g95,F814W,0.322,3.62,0.61,22.2,-54.1,125.2,0.3,0.097,1.8,0.047,4.728,0.146,4.425,0.184,1.55,0.06,0.06
g95,F814W,0.322,3.62,0.61,5.7,-29.0,77.9,0.8,0.042,2.078,0.046,7.666,0.112,7.605,4.895,0.53,-0.41,0.05
g116,F814W,0.335,3.73,0.604,25.9,-21.3,157.1,3.6,0.061,1.886,0.091,9.763,0.0,2.73,0.069,5.78,-0.46,0.03
g116,F814W,0.335,3.73,0.604,6.2,-4.3,225.4,1.5,0.06,2.25,0.063,8.782,0.339,1.574,0.025,1.42,0.03,0.12
g179,F814W,0.341,3.79,0.601,12.2,3.6,161.2,0.9,0.038,2.417,0.055,14.069,0.0,42.635,24.982,6.03,-0.07,0.03
g179,F814W,0.341,3.79,0.601,27.0,-25.0,190.6,5.1,0.03,1.545,0.088,13.097,0.324,49.118,25.111,7.46,0.23,0.12
g131,F814W,0.342,3.79,0.601,21.5,7.4,274.1,0.0,0.141,1.388,0.094,9.257,0.0,2.975,0.149,2.35,0.05,0.26
g131,F814W,0.342,3.79,0.601,15.9,5.0,257.3,0.0,0.087,1.665,0.095,7.35,0.295,3.85,0.428,4.01,0.41,0.21
g66,F814W,0.343,3.8,0.6,37.7,-8.3,144.3,3.9,0.055,3.434,0.211,15.696,0.802,30.047,6.721,2.16,0.5,0.0
g66,F814W,0.343,3.8,0.6,15.5,-1.1,293.4,10.8,0.097,1.361,0.062,10.057,0.0,36.539,20.952,3.4,0.09,0.06
g66,F814W,0.343,3.8,0.6,22.0,91.6,53.5,1.1,0.03,2.722,0.253,22.84,0.0,5.964,0.84,8.38,-0.2,0.12
g66,F814W,0.343,3.8,0.6,15.1,-3.6,437.7,10.8,0.236,3.135,0.259,13.895,0.25,35.399,7.002,2.44,-0.47,0.05
g79,F814W,0.345,3.82,0.599,13.2,-25.4,182.0,0.4,0.111,3.589,0.078,7.354,0.182,2.279,0.037,0.68,-0.24,0.05
g79,F814W,0.345,3.82,0.599,13.3,-26.9,180.9,1.3,0.098,2.485,0.051,8.552,0.193,2.817,0.044,0.51,-0.48,0.02
g68,F814W,0.347,3.83,0.598,13.5,-18.8,213.0,4.2,0.108,3.488,0.0,8.606,0.659,3.094,0.148,0.65,-0.39,0.1
g68,F814W,0.347,3.83,0.598,23.8,-9.7,208.4,2.2,0.083,3.28,0.0,10.114,0.5,2.827,0.158,0.64,0.5,0.0
g19,F814W,0.352,3.88,0.596,14.8,-7.4,358.3,0.9,0.091,2.752,0.069,9.686,0.19,5.166,0.137,0.39,-0.14,0.09
g19,F814W,0.352,3.88,0.596,16.3,-2.8,411.1,2.3,0.169,3.043,0.059,15.587,0.144,6.365,0.082,0.81,0.5,0.0
g139,F814W,0.356,3.92,0.594,17.6,-18.1,91.2,1.5,0.026,2.512,0.0,8.765,0.545,3.315,0.359,1.0,0.0,0.0
g139,F814W,0.356,3.92,0.594,20.7,-6.0,327.7,6.6,0.156,1.635,0.029,6.654,0.0,26.357,0.0,1.0,0.0,0.0
g139,F814W,0.356,3.92,0.594,12.3,6.2,356.6,3.0,0.242,1.529,0.046,9.295,0.111,26.357,0.0,1.0,0.0,0.0
g177,F814W,0.357,3.92,0.594,14.2,12.3,147.3,5.4,0.021,1.084,0.101,7.73,0.351,1.659,0.18,0.39,0.37,0.12
g177,F814W,0.357,3.92,0.594,21.7,-1.1,281.2,2.0,0.247,3.927,0.0,22.484,0.287,5.654,0.07,1.8,-0.16,0.02
g177,F814W,0.357,3.92,0.594,28.1,-21.6,123.5,1.3,0.062,1.908,0.098,14.027,0.424,10.76,0.974,5.43,0.42,0.06
g177,F814W,0.357,3.92,0.594,16.5,7.7,231.4,4.9,0.133,3.624,0.095,14.769,0.0,4.826,0.253,0.92,-0.2,0.03
g57,F814W,0.358,3.93,0.594,20.1,3.7,164.1,5.7,0.041,2.461,0.214,10.612,0.62,14.978,3.2,1.55,-0.16,0.1
g57,F814W,0.358,3.93,0.594,16.9,1.6,291.5,6.1,0.08,1.895,0.059,17.768,0.0,4.956,0.279,1.71,0.37,0.15
g57,F814W,0.358,3.93,0.594,16.1,-2.8,129.3,2.5,0.029,2.585,0.134,13.081,0.552,4.625,0.456,0.89,-0.35,0.11
g57,F814W,0.358,3.93,0.594,13.9,-10.5,238.5,4.0,0.139,1.982,0.087,10.23,0.0,6.808,0.223,3.9,-0.0,0.05
g57,F814W,0.358,3.93,0.594,6.7,1.0,109.9,1.9,0.073,1.818,0.067,12.189,0.214,21.372,6.598,6.13,-0.35,0.03
g75,F814W,0.358,3.93,0.594,11.0,1.5,345.4,3.6,0.186,3.08,0.116,5.784,0.0,21.239,3.404,1.02,-0.5,0.0
g75,F814W,0.358,3.93,0.594,19.2,-1.5,359.7,5.6,0.183,1.419,0.047,10.016,0.0,32.511,0.0,3.46,0.5,0.0
g161,F814W,0.363,3.98,0.591,19.4,-17.5,304.8,0.0,0.134,1.928,0.179,6.75,0.0,4.221,0.268,2.08,-0.49,0.07
g161,F814W,0.363,3.98,0.591,14.7,-3.7,214.9,5.1,0.124,2.299,0.0,7.317,0.0,1.368,0.073,0.37,-0.5,0.0
g2,F814W,0.367,4.01,0.59,40.2,-85.2,41.5,7.5,0.011,0.732,0.477,4.994,0.943,1.662,0.51,0.99,0.08,1.24
g2,F814W,0.367,4.01,0.59,19.8,-36.2,142.9,14.1,0.028,0.779,0.221,4.126,0.625,1.585,0.219,0.95,0.06,1.23
g2,F814W,0.367,4.01,0.59,29.0,3.8,110.1,18.5,0.027,0.741,0.221,4.872,0.702,1.607,0.294,1.26,0.04,0.92
g2,F814W,0.367,4.01,0.59,18.1,-1.1,190.6,16.1,0.044,0.81,0.157,5.031,0.481,1.626,0.178,1.24,0.06,0.76
g152,F814W,0.369,4.03,0.589,11.4,-5.5,334.2,1.2,0.13,3.599,0.038,12.592,0.0,1.945,0.039,1.0,0.0,0.0
g152,F814W,0.369,4.03,0.589,15.7,-16.2,284.3,11.5,0.155,4.559,0.0,10.411,0.0,26.098,3.374,1.0,0.0,0.0
g27,F814W,0.369,4.03,0.589,9.2,-21.2,174.7,1.7,0.04,2.057,0.126,6.139,0.258,2.019,0.169,1.05,0.01,0.23
g27,F814W,0.369,4.03,0.589,4.6,9.2,137.2,3.2,0.042,2.104,0.18,7.264,0.0,17.232,14.051,0.54,-0.5,0.0
g143,F814W,0.371,4.04,0.588,23.2,-25.6,237.9,6.2,0.125,2.371,0.0,8.103,0.0,3.328,0.097,2.11,-0.45,0.01
g143,F814W,0.371,4.04,0.588,12.3,-16.9,183.9,2.1,0.098,2.521,0.0,5.746,0.167,2.098,0.08,0.78,0.08,0.08
g38,F814W,0.371,4.04,0.588,19.9,-13.9,294.7,7.3,0.224,1.255,0.042,5.609,0.0,21.563,0.0,9.31,-0.28,0.03
g38,F814W,0.371,4.04,0.588,18.8,-5.9,180.0,1.1,0.147,1.91,0.078,5.982,0.139,1.77,0.071,0.37,0.37,0.08
g157,F814W,0.373,4.06,0.587,5.6,7.0,308.4,2.3,0.25,1.759,0.09,4.605,0.128,1.231,0.06,2.78,-0.08,0.07
g157,F814W,0.373,4.06,0.587,18.7,-10.5,242.8,8.9,0.088,1.159,0.106,6.332,0.514,3.759,0.51,9.59,-0.46,0.31
g1,F814W,0.376,4.08,0.586,14.6,1.4,457.6,14.8,0.161,1.388,0.195,12.821,0.0,11.341,2.968,1.0,0.4,0.21
g1,F814W,0.376,4.08,0.586,7.9,-4.0,384.2,5.5,0.211,1.925,0.126,8.865,0.255,3.613,0.252,2.33,0.02,0.08
g77,F814W,0.376,4.08,0.586,14.9,-11.4,228.1,21.1,0.105,1.349,0.085,4.259,0.0,3.45,0.613,1.0,0.0,0.0
g77,F814W,0.376,4.08,0.586,18.5,0.8,192.2,5.5,0.076,1.247,0.096,6.317,0.254,11.855,5.607,1.0,0.0,0.0
g5,F814W,0.376,4.09,0.586,16.9,-1.6,213.5,3.8,0.095,1.084,0.095,7.817,0.0,1.567,0.101,0.85,0.4,0.11
g5,F814W,0.376,4.09,0.586,24.2,-2.7,165.5,3.6,0.131,0.931,0.066,5.93,0.0,17.828,0.0,3.0,-0.46,0.17
